# These are DE genes for all 3 cells types with a 
# p value of less than 0.05.  
> aCTB	M
16667094	1.394339125
16924979	0.809267
16799598	-1.725021875
16872862	-2.445309875
16831046	-1.1725225
16715724	-1.544547125
16682930	0.88895275
16959871	-1.102891375
17041030	1.402848375
16970611	-1.092949125
17016760	1.177184625
17036173	1.177184625
17028176	1.295346375
16874012	1.14181725
16729240	-1.508506875
16734494	-0.70801825
16705934	0.89773525
16972702	-2.964179375
16707009	1.265544875
16794719	0.935904
16987395	-1.456949375
16853474	-1.4142855
16728642	1.466792875
16748227	3.211160375
16941344	-0.910451
17011255	-1.380022
16677425	-1.489277875
17018497	1.403155375
16844207	1.209109125
16822109	-1.323359125
16778099	-1.376186375
16887036	-2.37657025
16769770	1.20716825
16852433	-0.9953395
16808876	-1.2032605
17013404	1.55407775
16672452	2.288783875
17060758	-1.221407625
17047795	-3.067340875
17118228	1.24611175
17118232	1.24611175
17118242	1.24611175
17118246	1.24611175
17019707	1.3918165
16729064	0.89428125
17050591	-1.90655075
16777502	-0.92054
16874097	1.591439125
16954759	-1.75618275
16800229	1.102748875
16975947	-1.073277875
16894930	-0.71343975
16671416	0.788512625
16833224	2.55153375
17079293	-1.355920375
17027743	1.012447
17077659	-1.92615225
16910876	0.883212875
16919044	-1.239708875
16674604	1.041894375
16698298	-3.893799375
16863968	-1.33730925
17010529	-0.989918625
16985353	1.168126
17089622	1.137439375
16930199	1.220501875
17067102	-1.076189375
16838300	0.7544885
16901109	1.779875875
17038609	2.676743
17027947	0.95917275
16664569	1.23316925
17069716	-1.759066375
16919879	-2.579256
17063507	-1.688572375
16668079	-1.2795565
16834341	-2.77386275
17028360	1.0908155
16817647	-0.85798825
17093417	-1.055693
16871359	0.943358
17031045	1.454816875
16984646	1.014996125
16826356	-1.847718875
16954431	1.04382325
17046601	0.90405225
17004791	-1.528426625
16821621	1.41306925
16865424	1.313978
